년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2022-01,AAR,OZ,아시아나항공,국제,SEA,도착,정기,화물,0,0,0,871167,301894,0,0
2022-01,AAR,OZ,아시아나항공,국제,SEA,도착,정기,여객,674,7,592,41979,17887,0,45806
2022-01,AAR,OZ,아시아나항공,국제,SEA,도착,부정기,화물,0,0,0,79117,13090,0,0
2022-01,AAR,OZ,아시아나항공,국제,SEA,출발,정기,화물,0,0,0,21777,21777,0,0
2022-01,AAR,OZ,아시아나항공,국제,SEA,출발,정기,여객,874,5,350,58932,49910,0,41404
2022-01,AAR,OZ,아시아나항공,국제,SFO,도착,정기,화물,0,0,0,1396224,435091,0,0
2022-01,AAR,OZ,아시아나항공,국제,SFO,도착,정기,여객,1497,12,563,137781,3863,0,66873
2022-01,AAR,OZ,아시아나항공,국제,SFO,도착,부정기,화물,0,0,0,43805,4575,0,0
2022-01,AAR,OZ,아시아나항공,국제,SFO,출발,정기,화물,0,0,0,304027,181852,4459,0
2022-01,AAR,OZ,아시아나항공,국제,SFO,출발,정기,여객,1403,10,164,204008,74566,7894,51095
2022-01,AAR,OZ,아시아나항공,국제,SFO,출발,부정기,화물,0,0,0,311589,0,0,0
2022-01,AAR,OZ,아시아나항공,국제,SGN,도착,정기,화물,0,0,0,798253,137650,1257,0
2022-01,AAR,OZ,아시아나항공,국제,SGN,도착,정기,여객,1002,8,205,365659,60609,0,37530
2022-01,AAR,OZ,아시아나항공,국제,SGN,도착,부정기,화물,0,0,0,61038,1458,0,0
2022-01,AAR,OZ,아시아나항공,국제,SGN,출발,정기,화물,0,0,0,178780,125478,0,0
2022-01,AAR,OZ,아시아나항공,국제,SGN,출발,정기,여객,409,4,186,302129,84959,4679,19077
2022-01,AAR,OZ,아시아나항공,국제,SGN,출발,부정기,화물,0,0,0,50136,15203,3846,0
2022-01,AAR,OZ,아시아나항공,국제,SIN,도착,정기,화물,0,0,0,1038072,270384,438,0
2022-01,AAR,OZ,아시아나항공,국제,SIN,도착,정기,여객,733,3,31,181821,6067,19950,15305
2022-01,AAR,OZ,아시아나항공,국제,SIN,도착,부정기,화물,0,0,0,192351,0,0,0
2022-01,AAR,OZ,아시아나항공,국제,SIN,도착,부정기,여객,333,0,6,93517,4153,12873,7339
2022-01,AAR,OZ,아시아나항공,국제,SIN,출발,정기,화물,0,0,0,1098112,512643,0,0
2022-01,AAR,OZ,아시아나항공,국제,SIN,출발,정기,여객,965,5,11,120730,13118,0,25710
2022-01,AAR,OZ,아시아나항공,국제,SIN,출발,부정기,화물,0,0,0,142067,75136,0,0
2022-01,AAR,OZ,아시아나항공,국제,SIN,출발,부정기,여객,648,2,10,94791,56602,0,16788
2022-01,AAR,OZ,아시아나항공,국제,SPN,도착,정기,여객,541,2,25,207,0,0,12072
2022-01,AAR,OZ,아시아나항공,국제,SPN,도착,부정기,여객,454,1,9,0,0,0,10765
2022-01,AAR,OZ,아시아나항공,국제,SPN,출발,정기,여객,603,0,17,748,0,0,14538
2022-01,AAR,OZ,아시아나항공,국제,SPN,출발,부정기,여객,439,0,16,732,0,0,9061
2022-01,AAR,OZ,아시아나항공,국제,STN,출발,정기,화물,0,0,0,342452,294402,12117,0
2022-01,AAR,OZ,아시아나항공,국제,SYD,도착,정기,여객,693,22,53,38746,1378,0,17635
2022-01,AAR,OZ,아시아나항공,국제,SYD,도착,부정기,여객,202,6,19,8358,2411,0,5354
2022-01,AAR,OZ,아시아나항공,국제,SYD,출발,정기,여객,821,14,49,36270,1385,0,23799
2022-01,AAR,OZ,아시아나항공,국제,SYD,출발,부정기,여객,232,3,26,11476,0,0,7237
2022-01,AAR,OZ,아시아나항공,국제,TAO,도착,부정기,화물,0,0,0,211189,170564,53,0
2022-01,AAR,OZ,아시아나항공,국제,TAO,출발,부정기,화물,0,0,0,144701,55559,5578,0
2022-01,AAR,OZ,아시아나항공,국제,TAS,도착,정기,여객,474,2,41,2360,50,0,18789
2022-01,AAR,OZ,아시아나항공,국제,TAS,출발,정기,여객,806,3,52,12369,6688,0,44444
2022-01,AAR,OZ,아시아나항공,국제,TPE,도착,정기,여객,364,4,236,245457,84564,0,18396
2022-01,AAR,OZ,아시아나항공,국제,TPE,도착,부정기,화물,0,0,0,166593,63048,0,0
2022-01,AAR,OZ,아시아나항공,국제,TPE,출발,정기,여객,261,8,59,238401,9883,0,9254
2022-01,AAR,OZ,아시아나항공,국제,TPE,출발,부정기,화물,0,0,0,211527,2112,0,0
2022-01,AAR,OZ,아시아나항공,국제,TSN,도착,정기,화물,0,0,0,1065459,758051,5539,0
